datetime,type,price,size
2024-01-02 16:00:00,sell,2066.38,-3
2024-01-02 16:00:00,sell,2066.38,-3
2024-01-02 16:45:00,buy,2065.86,3
2024-01-02 17:00:00,buy,2070.29,1
2024-01-02 17:00:00,buy,2070.29,1
2024-01-02 17:00:00,buy,2070.29,1
2024-01-02 17:15:00,sell,2067.24,-3
2024-01-02 17:30:00,sell,2064.82,-1
2024-01-02 17:30:00,buy,2064.82,1
2024-01-02 17:30:00,buy,2064.82,1
2024-01-02 17:45:00,sell,2058.85,-1
2024-01-02 17:45:00,sell,2058.85,-1
2024-01-02 17:45:00,sell,2058.85,-1
2024-01-02 18:15:00,buy,2066.44,2
2024-01-02 18:15:00,buy,2066.44,2
2024-01-02 19:30:00,sell,2063.98,-2
2024-01-02 19:30:00,sell,2063.98,-2
2024-01-02 19:30:00,sell,2063.98,-2
2024-01-02 19:45:00,buy,2064.51,4
2024-01-02 19:45:00,buy,2064.51,4
2024-01-02 20:00:00,sell,2062.66,-4
2024-01-02 20:00:00,sell,2062.66,-4
2024-01-02 20:00:00,sell,2062.66,-4
2024-01-02 20:30:00,buy,2064.44,8
2024-01-02 20:45:00,buy,2061.58,1
2024-01-02 20:45:00,buy,2061.58,1
2024-01-02 20:45:00,buy,2061.58,1
2024-01-02 21:00:00,sell,2061.23,-3
2024-01-02 21:00:00,sell,2061.23,-3
2024-01-02 21:00:00,sell,2061.23,-3
2024-01-03 01:30:00,buy,2059.28,6
2024-01-03 01:45:00,buy,2059.42,1
2024-01-03 01:45:00,buy,2059.42,1
2024-01-03 01:45:00,buy,2059.42,1
2024-01-03 02:45:00,sell,2060.31,-3
2024-01-03 02:45:00,sell,2060.31,-3
2024-01-03 02:45:00,sell,2060.31,-3
2024-01-03 03:15:00,buy,2062.07,6
2024-01-03 03:30:00,buy,2061.19,1
2024-01-03 03:30:00,buy,2061.19,1
2024-01-03 03:30:00,buy,2061.19,1
2024-01-03 05:15:00,sell,2063.68,-3
2024-01-03 05:15:00,sell,2063.68,-3
2024-01-03 05:45:00,buy,2065.08,3
2024-01-03 05:45:00,buy,2065.08,3
2024-01-03 07:15:00,sell,2063.77,-3
2024-01-03 07:15:00,sell,2063.77,-3
2024-01-03 07:15:00,sell,2063.77,-3
2024-01-03 07:45:00,buy,2064.94,6
2024-01-03 08:00:00,buy,2064.05,1
2024-01-03 08:00:00,buy,2064.05,1
2024-01-03 08:00:00,buy,2064.05,1
2024-01-03 08:15:00,sell,2065.15,-3
2024-01-03 08:15:00,sell,2065.15,-3
2024-01-03 08:30:00,buy,2064.59,3
2024-01-03 08:45:00,buy,2064.19,1
2024-01-03 08:45:00,buy,2064.19,1
2024-01-03 08:45:00,buy,2064.19,1
2024-01-03 09:00:00,sell,2064.31,-3
2024-01-03 09:00:00,sell,2064.31,-3
2024-01-03 09:00:00,sell,2064.31,-3
2024-01-03 09:45:00,buy,2063.27,6
2024-01-03 10:00:00,buy,2062.81,1
2024-01-03 10:00:00,buy,2062.81,1
2024-01-03 10:00:00,sell,2062.81,-1
2024-01-03 10:15:00,sell,2063.8,-1
2024-01-03 10:30:00,sell,2060.72,-1
2024-01-03 10:30:00,sell,2060.72,-1
2024-01-03 10:30:00,sell,2060.72,-1
2024-01-03 12:00:00,buy,2056.81,3
2024-01-03 12:15:00,buy,2055.69,1
2024-01-03 12:15:00,buy,2055.69,1
2024-01-03 12:15:00,buy,2055.69,1
2024-01-03 12:30:00,sell,2053.13,-3
2024-01-03 12:30:00,sell,2053.13,-3
2024-01-03 12:30:00,sell,2053.13,-3
2024-01-03 14:45:00,buy,2046.05,6
2024-01-03 15:00:00,buy,2045.71,1
2024-01-03 15:00:00,buy,2045.71,1
2024-01-03 15:00:00,buy,2045.71,1
2024-01-03 15:15:00,sell,2045.1899999999998,-3
2024-01-03 15:30:00,buy,2042.85,1
2024-01-03 15:30:00,buy,2042.85,1
2024-01-03 15:30:00,buy,2042.85,1
2024-01-03 15:45:00,sell,2041.9000000000003,-3
2024-01-03 15:45:00,sell,2041.9000000000003,-3
2024-01-03 17:00:00,buy,2037.59,3
2024-01-03 17:00:00,buy,2037.59,3
2024-01-03 17:15:00,sell,2040.72,-3
2024-01-03 17:30:00,buy,2037.36,1
2024-01-03 17:30:00,buy,2037.36,1
2024-01-03 17:30:00,buy,2037.36,1
2024-01-03 17:45:00,sell,2034.04,-3
2024-01-03 17:45:00,sell,2034.04,-3
2024-01-03 17:45:00,sell,2034.04,-3
2024-01-03 20:15:00,buy,2033.01,6
2024-01-03 20:30:00,buy,2034.98,1
2024-01-03 20:30:00,buy,2034.98,1
2024-01-03 20:30:00,buy,2034.98,1
2024-01-03 21:15:00,sell,2031.28,-3
2024-01-03 21:15:00,sell,2031.28,-3
2024-01-03 21:15:00,sell,2031.28,-3
2024-01-03 21:30:00,buy,2038.84,6
